36,Shorapur,BJP,NARASIMHANAYAK (RAJUGOUDA),M,104426,INC,RAJA VENKATAPPA NAIK,81858,71.20%,275668,22568,YADGIR
37,Shahapur,INC,SHARANABASAPPA GOUDA DARSHANAPUR,M,78642,BJP,GURU PATIL SIRWAL,47668,59.04%,225798,30974,YADGIR
38,Yadgir,BJP,VENKATREDDY MUDNAL,M,62227,INC,DR.A B MAALAKARADDY,49346,61.07%,235682,12881,YADGIR
39,Gurmitkal,JDS,NAGANAGOWDA,M,79627,INC,BABURAO CHINCHANSUR,55147,61.86%,245215,24480,YADGIR
40,Chittapur,INC,PRIYANK KHARIGE,M,69700,BJP,VALMIK NAIK,65307,60.34%,231920,4393,GULBARGA
41,Sedam,BJP,RAJKUMAR TELKAR,M,80668,INC,DR. SHARAN PRAKASH RUDRAPPA PATIL,73468,73.84%,215147,7200,GULBARGA
42,Chincholi,INC,DR. UMESH G JADHAV,M,73905,BJP,SUNIL Y VALLYAPURE,54693,68.64%,193590,19212,GULBARGA
43,Gulbarga Rural,BJP,BASARVARAJ MATTIMOD,M,61750,INC,VIJAYKUMAR G RAMAKRISHNA,49364,60.23%,250497,12386,GULBARGA
44,Gulbarga Dakshin,BJP,DATTATRYEA PATIL,M,64788,INC,ALLAMPRABHU PATIL,59357,52.36%,263590,5431,GULBARGA
45,Gulbarga Uttar,INC,KANEEZ FATIMA,F,64311,BJP,CHANDRAKANT B PATIL (CHANDU PATIL),58371,52.76%,274281,5940,GULBARGA
46,Aland,BJP,GUTTEDAR SUBHASH RUKMAYYA,M,76815,INC,B R PATIL,76118,68.20%,233841,697,GULBARGA
47,Basavakalyan,INC,B NARAYANA RAO,M,61425,BJP,MALLIKARJUN SON OF SIDRAMAPPA KHUBA,44153,64.56%,224317,17272,BIDAR
48,Humnabad,INC,RAJASHEKAR PATIL,M,74945,BJP,SUBHASH,43131,66.42%,238628,31814,BIDAR
49,Bidar South,JDS,BANDEPPA KHASHEMPUR,M,55107,BJP,DR SHAILENDRA BELDALE,42365,69.55%,199611,12742,BIDAR
50,Bidar,INC,RAHIM KHAN,M,73270,BJP,SURAYAKANTH NAGMARPALLI,63025,63.51%,216853,10245,BIDAR
51,Bhalki,INC,ESHWAR KHANDRE,M,84673,BJP,D K SIDRAM,63235,73.66%,224708,21438,BIDAR
52,Aurad,BJP,PRABHU CHAUHAN,M,75061,INC,VIJAYKUMAR,64469,69.55%,214461,10592,BIDAR
53,Raichur Rural,INC,BASANNA GOWDA,M,66656,BJP,TIPPARAJU HAWALDAR,56692,69.13%,233450,9964,RAICHUR
54,Raichur,BJP,DR. SHIVARAJ PATIL,M,56511,INC,SYED YASEEN,45520,53.97%,228262,10991,RAICHUR
55,Manvi,JDS,RAJA VENKATAPPA NAYAK,M,53548,OTHERS,DR TANUSREE @ PREETI,37733,62.77%,244653,15815,RAICHUR
56,Devadurga,BJP,SHIVANA GOWDA NAYAK,M,67003,INC,A RAJASHEKAR NAYAK,45958,68.96%,227826,21045,RAICHUR
57,Lingsugur,INC,D. S. HOOLAGERI,M,54230,JDS,BANDI.SIDDU,49284,67.76%,240984,4946,RAICHUR
58,Sindhanur,JDS,VENKATRAO NADAGOUDA,M,71514,INC,BADARLI HAMPANGOUDA,69917,69.36%,234521,1597,RAICHUR
59,Maski,INC,PRATAP GOWDA PATIL,M,60387,BJP,BASANAGOWDA-TURVIHAL,60174,68.63%,198451,213,RAICHUR
60,Kushtagi,INC,AMAREGOWDA BAIYYAPUR,M,87567,BJP,DODDANAGOUDA HANAMAGOUDA PATIL,69536,73.24%,224689,18031,KOPPAL
61,Kanakagiri,BJP,BASAVARAJ DADESUGUR,M,87735,INC,SHIVARAJ SANGAPPA TANGADAGI,73510,78.98%,211543,14225,KOPPAL
62,Gangavathi,BJP,PARANNA MUNAVALLI,M,67617,INC,IQBAL ANSARI,59644,75.42%,194057,7973,KOPPAL
63,Yelburga,BJP,ACHAR HALAPPA BASAPPA,M,79072,INC,BASAVARAJ RAYAREDDI,65754,78.80%,207110,13318,KOPPAL
64,Koppal,INC,K. RAGHAVENDRA BASAVARAJ HITNAL,M,98783,BJP,AMARESH SANGANNA KARADI,72432,74.59%,240965,26351,KOPPAL
65,Shirahatti,BJP,RAMAPPA SOBEPPA LAMANI,M,91967,INC,DODDAMANI RAMAKRISHNA SHIDLINGAPPA,61974,75.15%,212130,29993,GADAG
66,Gadag,INC,H K PATIL,M,77699,BJP,ANIL MENSINAKAI,75831,72.34%,219426,1868,GADAG
67,Ron,BJP,KALAKAPPA BANDI,M,83735,INC,GURUPADAGOUDA PATIL,76401,75.36%,224632,7334,GADAG
68,Nargund,BJP,CHANDRAKANTAGOUDA CHANNAPPAGOUDA PATIL,M,73045,INC,BASAVARADDI RANGARADDI YAVAGAL,65066,76.66%,187182,7979,GADAG
69,Navalgund,BJP,SHANKAR B. PATIL MUNENAKOPPA,M,65718,JDS,N. H. KONARADDI,45197,77.97%,203777,20521,DHARWAD
70,Kundgol,INC,C S SHIVALLI,M,64871,BJP,CHIKKANAGOUDRA SIDDANAGOUD ISHWARAGOD,64237,78.27%,187513,634,DHARWAD
